run_date,total_links,client_side_links,excluded_links,video_links,minutes_links
2026-01-30,605,15,45,404,141
2026-01-30,605,15,45,404,141
2026-03-16,612,15,45,408,144
2026-03-23,614,15,46,410,143
2026-03-30,615,15,46,410,144
2026-04-06,617,15,45,413,144
2026-04-13,621,15,45,416,145
2026-04-20,621,15,45,416,145
2026-04-27,621,15,45,416,145
2026-05-04,625,15,45,419,146
2026-05-11,628,15,44,421,148
2026-05-18,628,15,45,421,147
2026-06-01,633,15,45,425,148
2026-06-08,636,15,45,427,149
2026-06-15,636,15,45,427,149
